name,salary,currency,experience,location,link,skills
Аналитик данных,600000,KZT,0,Астана / Казахстан,https://hh.ru/vacancy/127247637,
Senior ML / Data Scientist,3500,USD,3–6,Минск / Беларусь,https://hh.ru/vacancy/128152732,"Python, pandas, XGBoost, SciPy, Numpy, PostgreSQL, CatBoost, Deep Learning, Jupyter Notebook, PyTorch, Scikit-learn"
AI/ML инженер,150000,KZT,3–6,Алматы / Казахстан,https://hh.ru/vacancy/128004586,"Python, Обучение и развитие, Docker"
Data Engineer,300000,RUB,3–6,Москва / Россия,https://hh.ru/vacancy/127592911,"Iceberg, Clickhouse, Spark, Apache Airflow"
Middle+ / Senior ML-инженер,220000,RUB,6,Санкт-Петербург / Россия,https://hh.ru/vacancy/117997535,"Big Data, pandas, Математическая статистика, SQL, Git, ETL, Hadoop, Java, Python, Groovy, Atlassian Jira, Atlassian Confluence, Английский — B2 — Средне-продвинутый"
ML-инженер/Team Lead,300000,RUB,3–6,Москва / Россия,https://hh.ru/vacancy/127999005,
Аналитик данных,350000,KZT,1–3,Алматы / Казахстан,https://hh.ru/vacancy/127994928,"Анализ данных, Аналитическое мышление, Основы баз данных, Работа с большим объемом информации, Маркетинговые метрики, Формирование аналитической отчетности, Предобработка данных, Визуализация данных, Исследовательский анализ данных, SQL, Power BI, Извлечение данных, Интерпретация данных"
Senior ML Engineer / Data Scientist,250000,RUB,3–6,Москва / Россия,https://hh.ru/vacancy/127732252,"ML/DL/CV, FastAPI, TensorFlow, PyTorch, Transformers, OpenCV, Numpy, LangChain, YOLO, Linux, Ubuntu"
Data Analyst / Product Analyst,250000,RUB,3–6,Санкт-Петербург / Россия,https://hh.ru/vacancy/127927930,"SQL, Анализ данных, Tableau, Python, R, Английский — A2 — Элементарный"
Бизнес-аналитик,700000,KZT,3–6,Алматы / Казахстан,https://hh.ru/vacancy/128129045,
Senior ML engineer,5000,USD,3–6,Москва / Россия,https://hh.ru/vacancy/128082016,"Dota 2, ML-инженер, технологии ИИ, Python, PyTorch, Numpy, ONNX, ООП, FAISS, AWS, Нейронные сети, Attention, CNN, Статистика, self-supervised learning"
Senior Data Engineer (Web3),4000,USD,3–6,Москва / Россия,https://hh.ru/vacancy/127991129,"Python, Big Data, ETL, Apache Spark, PostgreSQL, Apache Kafka"
ML-разработчик,250000,RUB,3–6,Санкт-Петербург / Россия,https://hh.ru/vacancy/127993870,"NLP, LLM, Извлечение данных, Обучение и развитие, FastAPI, PyTorch, Numpy"
Бизнес-аналитик (Системный аналитик),600000,KZT,3–6,Астана / Казахстан,https://hh.ru/vacancy/128134089,
Ведущий бизнес аналитик,124000,RUB,1–3,Санкт-Петербург / Россия,https://hh.ru/vacancy/127479412,
Ведущий бизнес аналитик,124000,RUB,1–3,Санкт-Петербург / Россия,https://hh.ru/vacancy/127479179,
Аналитик данных,50000,RUB,0,Москва / Россия,https://hh.ru/vacancy/126685778,"Power BI, MS Excel, Анализ данных, Работа с большим объемом информации, Miro, MS Word, MS PowerPoint"
"Data Analyst (Product, Marketing)",200000,RUB,1–3,Санкт-Петербург / Россия,https://hh.ru/vacancy/126749984,"Python, SQL, Анализ данных"
Middle+ / Senior Data-аналитик,200000,RUB,6,Новосибирск / Россия,https://hh.ru/vacancy/127115677,"Big Data, pandas, Математическая статистика, SQL, Git, ETL, Hadoop, Java, Python, Groovy, Atlassian Jira, Atlassian Confluence, Английский — B2 — Средне-продвинутый"
Бизнес-аналитик / Консультант 1С,163000,RUB,3–6,Санкт-Петербург / Россия,https://hh.ru/vacancy/127360818,"1С программирование, Анализ данных, Базы данных, 1С, Разработка технических заданий, Постановка задач разработчикам, ERP-системы на базе 1С, Электронный документооборот, Аналитика, Моделирование бизнес процессов, Консультирование пользователей"
Аналитик данных,50000,RUB,1–3,Нижнем Новгороде,https://hh.ru/vacancy/127920957,"Анализ данных, Аналитическое мышление, Работа с большим объемом информации, Основы баз данных, Google Docs"
ML Engineer,121000,RUB,1–3,Москва / Россия,https://hh.ru/vacancy/127256613,"ML, Deep Learning, Python, Docker, ООП, Git, LLM, MySQL"
Аналитик данных,80000,RUB,1–3,Москва / Россия,https://hh.ru/vacancy/127779299,
Бизнес-аналитик,120000,RUB,1–3,Москва / Россия,https://hh.ru/vacancy/128102508,
Бизнес-аналитик,200000,RUB,1–3,Москва / Россия,https://hh.ru/vacancy/127335173,
ML-инженер,250000,RUB,3–6,Санкт-Петербург / Россия,https://hh.ru/vacancy/128191210,
Аналитик данных,150000,RUB,1–3,Москва / Россия,https://hh.ru/vacancy/127526241,"Анализ данных, Аналитическое мышление, Работа с большим объемом информации, Исследовательский анализ данных, Интерпретация данных, Бизнес-анализ, Финансовые показатели"
Аналитик данных,125000,RUB,3–6,Москва / Россия,https://hh.ru/vacancy/128075546,"Статистика, Аналитические исследования, Аналитика, Анализ данных, Базы данных, Государственные структуры, MS Excel"
Аналитик данных/Data Analyst,150000,RUB,3–6,Москва / Россия,https://hh.ru/vacancy/127368882,
Аналитик данных (BI),90000,RUB,1–3,Санкт-Петербург / Россия,https://hh.ru/vacancy/127335069,"Аналитическое мышление, Анализ данных, E-Commerce, Power BI"
Бизнес-аналитик,100000,RUB,1–3,Новосибирск / Россия,https://hh.ru/vacancy/127775070,
Data аналитик,400000,RUB,6,Москва / Россия,https://hh.ru/vacancy/128080815,
Бизнес-аналитик,150000,RUB,1–3,Москва / Россия,https://hh.ru/vacancy/127519119,
Бизнес-аналитик,150000,RUB,1–3,Москва / Россия,https://hh.ru/vacancy/107383704,"Грамотная речь, Аналитическое мышление, Управление производством, Сбор и анализ информации, Моделирование бизнес-процессов, Подготовка презентаций, Разработка проектной документации, UML, BPMN, MS SQL, MS PowerPoint, MS Visio, MS Word, MS Excel, ERP, EAM, ECM, MDM, Figma, ГОСТ 34, РД 50-34"
Старший инженер данных отдела разработки аналитических систем,300000,RUB,3–6,Москва / Россия,https://hh.ru/vacancy/124816261,"ETL, Clickhouse, Greenplum, Apache Airflow, SQL, Apache Kafka"
Data analyst / Аналитик данных (ученик),90000,RUB,0,Санкт-Петербург / Россия,https://hh.ru/vacancy/128094195,"Python, SQL, NoSQL, Big Data, Data Engineer, Математический анализ, Математическая статистика, Алгоритмы и структуры данных, Статистика"
Бизнес-аналитик,350000,KZT,1–3,Алматы / Казахстан,https://hh.ru/vacancy/127273769,
Ведущий аналитик / data Engineer / аналитик данных (middle),100000,RUB,1–3,Москва / Россия,https://hh.ru/vacancy/127213450,
Data Engineer,300000,RUB,3–6,Москва / Россия,https://hh.ru/vacancy/128172886,
Data Engineer,170000,RUB,1–3,Новосибирск / Россия,https://hh.ru/vacancy/127476893,"ETL потоки, Python, SQL, Анализ требований, REST API"
Data Engineer/разработчик oracle DWH,200000,RUB,3–6,Москва / Россия,https://hh.ru/vacancy/127722544,"ORACLE, SQL, ETL, Apache Airflow, PostgreSQL"
Data Analyst Intern / Стажер-аналитик данных,100000,RUB,0,Москва / Россия,https://hh.ru/vacancy/128081806,"Python, SQL, Hadoop, Azure, Английский — B2 — Средне-продвинутый"
Data-Аналитик в Управление маркетингом,200000,RUB,1–3,Москва / Россия,https://hh.ru/vacancy/128148679,"Internet Marketing, Google Analytics, Яндекс.Метрика, Веб-аналитика, MS Outlook, Internet, Мобильность, API, RFM-анализ, MS SQL, PostgreSQL, Data Analysis"
Data Analyst в управление комплаенс,155000,RUB,1–3,Санкт-Петербург / Россия,https://hh.ru/vacancy/126100450,"SQL, Python, Hadoop, Математическая статистика, Теория вероятностей, Линейная алгебра, Data Analysis"
Бизнес-аналитик (AML),200000,RUB,3–6,Новосибирск / Россия,https://hh.ru/vacancy/127768442,"Camunda, BPMN, JSON, AML, ПОД/ФТ"
Бизнес-аналитик,3000,BYN,1–3,Минск / Беларусь,https://hh.ru/vacancy/128221469,"Бизнес-анализ, Автоматизация управленческой отчетности, Внутренний аудит, План-факт анализ, Контроль и анализ ценообразования, Оценка рисков, Аудиторские проверки"
Бизнес-аналитик 1С (УНФ) в компанию 1С:Франчайзи,120000,RUB,1–3,Москва / Россия,https://hh.ru/vacancy/126222296,"1C: ERP, ERP, 1С: Управление Торговлей, 1С: Комплексная автоматизация"
Аналитик данных,150000,RUB,3–6,Москва / Россия,https://hh.ru/vacancy/127212800,"SQL, Анализ данных, Аналитическое мышление, Работа с большим объемом информации, Исследовательский анализ данных"
Аналитик данных,100000,RUB,1–3,Москва / Россия,https://hh.ru/vacancy/128161697,
Аналитик данных,180000,RUB,3–6,Санкт-Петербург / Россия,https://hh.ru/vacancy/128159108,"Анализ данных, SQL, PostgreSQL, Clickhouse, DataLens, Grafana, Продуктовые метрики, Бизнес метрики, A/B тесты, Когортный анализ, Анализ поведения пользователей, Python, pandas, Jupyter Notebook, Apache Airflow, Ad-hoc тестирование"
Аналитик данных,150000,RUB,3–6,Москва / Россия,https://hh.ru/vacancy/127212800,"SQL, Анализ данных, Аналитическое мышление, Работа с большим объемом информации, Исследовательский анализ данных"
Аналитик данных,100000,RUB,1–3,Москва / Россия,https://hh.ru/vacancy/128161697,
Аналитик данных,180000,RUB,3–6,Санкт-Петербург / Россия,https://hh.ru/vacancy/128159108,"Анализ данных, SQL, PostgreSQL, Clickhouse, DataLens, Grafana, Продуктовые метрики, Бизнес метрики, A/B тесты, Когортный анализ, Анализ поведения пользователей, Python, pandas, Jupyter Notebook, Apache Airflow, Ad-hoc тестирование"
Бизнес-аналитик (Bitrix24),139000,RUB,1–3,Москва / Россия,https://hh.ru/vacancy/125963276,"Оптимизация бизнес-процессов, Анализ данных, Коммуникабельность, Стрессоустойчивость, Деловая коммуникация, Ответственность, Исполнительность"
Бизнес-аналитик,500000,KZT,1–3,Алматы / Казахстан,https://hh.ru/vacancy/127767815,"Аналитическое мышление, SQL, Моделирование бизнес-процессов, Оптимизация бизнес-процессов, MS Excel, Разработка технических заданий, Казахский — B1 — Средний, Английский — B1 — Средний"
Senior Data Engineer,2000,USD,3–6,Москва / Россия,https://hh.ru/vacancy/127263812,"SQL, Python, SciPy, Data Analysis, Big Data, Математическая статистика, ui/ux, JSON, Статистический анализ, Корреляционный анализ, Визуализация данных, pandas"
Бизнес-аналитик,40000,RUB,1–3,Москва / Россия,https://hh.ru/vacancy/127831978,"Работа с большим объемом информации, Работа с базами данных, Power BI, Сбор и анализ информации, Аналитическое мышление, Автоматизация процессов, Разработка технических заданий"
Системный аналитик / Бизнес-аналитик,500000,KZT,3–6,Алматы / Казахстан,https://hh.ru/vacancy/127709575,"Разработка бизнес-требований, Бизнес-анализ, Аналитическое мышление, Разработка технических заданий"
Бизнес-аналитик,250000,KZT,1–3,Астана / Казахстан,https://hh.ru/vacancy/127184790,"Разработка технических заданий, SQL, BPMN, Scrum, Agile, API, Моделирование бизнес процессов, Работа с базами данных, Работа с большим объемом информации"
Data-аналитик,150000,RUB,1–3,Санкт-Петербург / Россия,https://hh.ru/vacancy/127986182,
Бизнес-аналитик (Битрикс24),3000,BYN,1–3,Минск / Беларусь,https://hh.ru/vacancy/127905855,
Бизнес-аналитик,200000,RUB,3–6,Казани,https://hh.ru/vacancy/128167329,"Бизнес-анализ, Аналитическое мышление, User Story, Draw.io, Моделирование бизнес-процессов, ERD, REST, Use case, Сбор требований, Описание бизнес-процессов, BPMN, Разработка функциональных требований, Разработка нефункциональных требований, Управление требованиями, Анализ бизнес-процессов, Разработка бизнес-требований, Анализ требований"
Data Engineer,750000,KZT,3–6,Алматы / Казахстан,https://hh.ru/vacancy/128135499,"Python, SQL, PostgreSQL, REST API, Docker, Apache Airflow, Apache Kafka, Git"
Бизнес-аналитик,120000,RUB,1–3,Санкт-Петербург / Россия,https://hh.ru/vacancy/127627296,"Бизнес-анализ, 1С: Предприятие 8, Автоматизация процессов"
Data Engineer,2500,USD,3–6,Москва / Россия,https://hh.ru/vacancy/128138267,"SQL, Python, Apache Airflow, PostgreSQL, Clickhouse, metabase, Apache Kafka"
Senior аналитик данных,450000,RUB,3–6,Москва / Россия,https://hh.ru/vacancy/127110289,"Анализ данных, SQL, A/B тесты"
Бизнес-аналитик/ трекер (оффлайн Нск),50000,RUB,3–6,Новосибирск / Россия,https://hh.ru/vacancy/128087714,"Scrum, Agile, Miro, Анализ бизнес-процессов, Kanban, Trello"
Data Engineer / Дата-инженер,184000,RUB,1–3,Москва / Россия,https://hh.ru/vacancy/127218802,
Аналитик данных,140000,RUB,1–3,Москва / Россия,https://hh.ru/vacancy/127195668,"SQL, Системное мышление, Английский — B1 — Средний"
Middle+ / Senior Data-аналитик,200000,RUB,6,Москва / Россия,https://hh.ru/vacancy/128061782,"PostgreSQL, Atlassian Jira, SQL, Data Analysis, Big Data, Математическая статистика, Визуализация данных"
Data Engineer / Дата-инженер,235000,RUB,1–3,Санкт-Петербург / Россия,https://hh.ru/vacancy/127194884,"Английский язык, Analytical skills, Python, PySpark, Английский — B2 — Средне-продвинутый"
Data Engineer/Дата инженер (Junior),100000,RUB,1–3,Москва / Россия,https://hh.ru/vacancy/127891259,"SQL, MySQL, REST API, JSON API"
"Ведущий специалист по анализу данных (Data analyst Middle+, Senior)",250000,RUB,3–6,Минск / Беларусь,https://hh.ru/vacancy/128080424,"Аналитика, SQL, Data Analysis, Python, Яндекс.Метрика, Git, GTM, Apache Airflow, SuperSet, Базы данных, Аналитическое мышление, Отчетность, Google Analytics, Продуктовые метрики, Веб-аналитика, Английский — A2 — Элементарный"
"ML/CV специалист (нейросети, компьютерное зрение, распознавание планов JPG → JSON)",200000,RUB,1–3,Новосибирск / Россия,https://hh.ru/vacancy/128117180,"Python, CV, ML, OpenCV, PyTorch, TensorFlow, OCR, Машинное обучение, Machine Learning"
ML Engineer / Data Science Developer (Python) / Дата-сайентист,230000,RUB,3–6,Москва / Россия,https://hh.ru/vacancy/127869537,"Big Data, Data Science, Machine Learning, Python, ML, Машинное обучение, Высокие коммуникативные навыки, Управление командой, Scikit-learn, pandas, CI/CD, Алгоритмы, Лидерство, Коммуникабельность, Управленческие навыки, Мотивация персонала, Организаторские навыки"
Data Engineer (Data Platform) / Дата-инженер,270000,RUB,3–6,Москва / Россия,https://hh.ru/vacancy/128048105,
Data analyst / Data scientist,230000,RUB,3–6,Москва / Россия,https://hh.ru/vacancy/127307468,"SQL, Power BI, MS SQL, Математическая статистика, Формирование аналитической отчетности, Python, Регрессионный анализ, Предобработка данных, Основы баз данных, Извлечение данных, Интерпретация данных, Визуализация данных, Исследовательский анализ данных"
Аналитик данных,203400,RUB,3–6,Санкт-Петербург / Россия,https://hh.ru/vacancy/128127486,"ERP-системы на базе 1С, Аналитический склад ума"
Бизнес-аналитик (научно-производственное предприятие ОПК),80000,RUB,3–6,Москва / Россия,https://hh.ru/vacancy/127706232,"Разработка и внедрение системы KPI, Business Studio, Описание бизнес-процессов, Бизнес-анализ"
Бизнес-аналитик (внедрение CRM Битрикс24),90000,RUB,1–3,Санкт-Петербург / Россия,https://hh.ru/vacancy/127704666,"Бизнес-анализ, Системный анализ, Управление проектами, Битрикс24, Моделирование бизнес-процессов"
Системный/бизнес аналитик,250000,RUB,3–6,Санкт-Петербург / Россия,https://hh.ru/vacancy/127406097,"BPMN, SQL, XML, JSON API, API"
Data Engineer/Дата инженер (ученик),90000,RUB,0,Москва / Россия,https://hh.ru/vacancy/128174058,"Python, SQL, NoSQL, Big Data, Data Engineer, Математический анализ, Математическая статистика, Алгоритмы и структуры данных, Статистика"
BI - аналитик/аналитик данных,70000,RUB,0,Москва / Россия,https://hh.ru/vacancy/127955630,
Специалист по обучению нейросетей для анализа ВИДЕОпотока (ML инженер),120000,RUB,3–6,Москва / Россия,https://hh.ru/vacancy/127493426,"Linux, Python, Работа с большим объемом информации, Аналитическое мышление, Информационные технологии, SQL, Поиск информации в интернет, Обработка видео, Сбор и анализ информации, Анализ данных, Базы данных, Работа с базами данных"
Специалист по обучению и настройке АУДИО-нейросетей (ML инженер),120000,RUB,3–6,Москва / Россия,https://hh.ru/vacancy/127493424,"Машинное обучение, Работа с большим объемом информации, Обучение и развитие, Python, Техническая документация, Работа с базами данных, Аналитическое мышление, Анализ данных, Информационные технологии, Разработка технических заданий, MS SQL, HTML, SQL, Английский язык, Linux, Аналитический склад ума, Программирование микроконтроллеров"
Бизнес-аналитик,80000,RUB,1–3,Санкт-Петербург / Россия,https://hh.ru/vacancy/128145765,"Тайм-менеджмент, Административная поддержка руководителя, Анализ данных, Google Docs, Ведение отчётности, MS Excel, Анализ бизнес-процессов, Анализ бизнес показателей, Бизнес-анализ"
Бизнес-аналитик,240000,RUB,6,Москва / Россия,https://hh.ru/vacancy/128134348,
Бизнес-аналитик,150000,RUB,1–3,Москва / Россия,https://hh.ru/vacancy/128134241,
Системный аналитик/Бизнес-аналитик,150000,RUB,1–3,Москва / Россия,https://hh.ru/vacancy/114811435,
Аналитик данных (Ритейл Аудит),180000,RUB,1–3,Москва / Россия,https://hh.ru/vacancy/127439739,"SQL, MS Excel, MS PowerPoint, Аналитика продаж"
Бизнес-аналитик,60000,RUB,0,Москва / Россия,https://hh.ru/vacancy/126607941,"Бизнес-анализ, Аналитическое мышление, Анализ бизнес-процессов, Разработка бизнес-требований"
Стажер Big Data - Data analyst,85000,KZT,0,Алматы / Казахстан,https://hh.ru/vacancy/128037099,
Data-аналитик,290000,RUB,6,Москва / Россия,https://hh.ru/vacancy/127958840,"ETL, Apache Spark, Apache NiFi, Apache Airflow, SQL, Apache Kafka, Grafana, Prometheus"
Младший аналитик данных,60000,RUB,1–3,Санкт-Петербург / Россия,https://hh.ru/vacancy/128019651,"SQL, Python, A/B тесты, EDA"
Системный аналитик / Бизнес-аналитик,200000,RUB,3–6,Москва / Россия,https://hh.ru/vacancy/127882391,"Системный анализ, Бизнес-анализ, Страхование, Информационные технологии, JavaScript, SQL, Английский язык, Андеррайтинг, Актуарные расчеты, Системная интеграция, Английский — B1 — Средний"
Junior data analyst / Google sheets developer (Специалист по автоматизации),70000,RUB,1–3,Москва / Россия,https://hh.ru/vacancy/128105561,"Математическая статистика, Power BI, Английский язык, Финансовые показатели, Формирование аналитической отчетности, Исследовательский анализ данных, Основы баз данных, Визуализация данных, Интерпретация данных, Маркетинговые метрики, Бизнес-анализ, Анализ требований, Преобразование данных, Предобработка данных, Извлечение данных, Моделирование бизнес-процессов, Английский — B2 — Средне-продвинутый"
Аналитик данных в онлайн-школу,50000,RUB,1–3,Санкт-Петербург / Россия,https://hh.ru/vacancy/128051399,
Менеджер проектов (Бизнес-аналитик),697000,KZT,3–6,Алматы / Казахстан,https://hh.ru/vacancy/128175799,"Бизнес-анализ, User Story, Описание бизнес-процессов, Постановка задач разработчикам"
ML Engineer Techlead/Team Lead,500000,RUB,6,Москва / Россия,https://hh.ru/vacancy/128046331,
Аналитик данных в онлайн школу,130000,RUB,1–3,Москва / Россия,https://hh.ru/vacancy/127447940,"SQL, QlikView, Финансовые показатели, Маркетинговые метрики, Анализ данных, Визуализация данных, Анализ требований, Формирование аналитической отчетности, Извлечение данных, Продуктовые метрики"
ML Engineer Techlead/Team Lead,500000,RUB,6,Москва / Россия,https://hh.ru/vacancy/128046331,
Аналитик данных в онлайн школу,130000,RUB,1–3,Москва / Россия,https://hh.ru/vacancy/127447940,"SQL, QlikView, Финансовые показатели, Маркетинговые метрики, Анализ данных, Визуализация данных, Анализ требований, Формирование аналитической отчетности, Извлечение данных, Продуктовые метрики"
Бизнес-аналитик в производственную компанию,160000,RUB,3–6,Санкт-Петербург / Россия,https://hh.ru/vacancy/128189656,Английский — A2 — Элементарный
Системный бизнес-аналитик amoCRM,50000,RUB,1–3,Москва / Россия,https://hh.ru/vacancy/127395039,"Клиентоориентированность, Работа в команде, Грамотная речь, Ориентация на результат, Ведение переговоров, CRM, amoCRM, Телефонные переговоры, Консультирование, Ведение переписки, B2B Продажи, Деловая переписка, Анализ бизнес показателей, Аналитическое мышление, Навыки презентации, n8n, Make"
Аналитик данных,110000,RUB,1–3,Санкт-Петербург / Россия,https://hh.ru/vacancy/126258660,"Python, SQL, Power BI, DAX, Tableau, Бизнес-анализ, Анализ данных, BPMN, UML, MS SQL, Аналитика, Базы данных"
Аналитик данных (Data & Analytics),120000,RUB,1–3,Москва / Россия,https://hh.ru/vacancy/127720502,
Data Engineer,250000,RUB,3–6,Москва / Россия,https://hh.ru/vacancy/128063555,
Бизнес-аналитик Битрикс24,3500,BYN,1–3,Минск / Беларусь,https://hh.ru/vacancy/127439742,"Ведение переговоров, Оптимизация бизнес-процессов, Деловая переписка, Навыки переговоров, CRM, Бизнес-анализ, Bitrix24, Грамотность, CRM Bitrix24, Разработка технических заданий, Аналитическое мышление, Составление технических заданий, Битрикс24, Описание бизнес-процессов, Автоматизация процессов, стандартизация бизнес процессов, Оптимизация бизнес процессов, Моделирование бизнес процессов, Проектная документация, Сбор и анализ информации, Оптимизация процессов"
Data Engineer,250000,RUB,3–6,Москва / Россия,https://hh.ru/vacancy/127726465,
Системный/Бизнес аналитик,160000,RUB,3–6,Москва / Россия,https://hh.ru/vacancy/128147844,"BPMN, UML, User Story, Use case, JSON, Swagger, PostgreSQL, MS SQL, OpenAPI, Английский — A1 — Начальный"
Младший бизнес-аналитик,80000,RUB,1–3,Санкт-Петербург / Россия,https://hh.ru/vacancy/110670676,
Бизнес - аналитик Отдела проектного управления,600000,KZT,3–6,Алматы / Казахстан,https://hh.ru/vacancy/127634577,"Способность работать с документами, Ответственный подход к работе, Образованность, Работа в условиях многозадачности, Ответственность и пунктуальность, Коммуникация, Русский — C1 — Продвинутый"
Младший бизнес-аналитик (в офисе),100000,RUB,1–3,Москва / Россия,https://hh.ru/vacancy/121845296,"Моделирование бизнес процессов, Работа с большим объемом информации, Грамотность, Документирование бизнес-требований"
Senior ML-инженер,270000,RUB,6,Москва / Россия,https://hh.ru/vacancy/128039435,"Python, Docker, pandas, Numpy"
Middle Business Analyst,500000,KZT,3–6,Алматы / Казахстан,https://hh.ru/vacancy/128143427,"Бизнес-анализ, Постановка задач разработчикам, Управление ожиданиями, Системный анализ"
Маркетинговый дата аналитик,180000,RUB,1–3,Москва / Россия,https://hh.ru/vacancy/126193151,
Системный/Бизнес аналитик,80000,RUB,1–3,Санкт-Петербург / Россия,https://hh.ru/vacancy/128005933,"SQL, Системный анализ, Анализ требований, BPMN, Разработка бизнес-требований, Документирование бизнес-требований, Разработка функциональных требований, JSON API, Draw.io, блок-схема"
Стажёр / бизнес-аналитик 1С,75000,RUB,1–3,Москва / Россия,https://hh.ru/vacancy/127629940,"Базы данных, Agile, Kanban, 1С: Предприятие 8, Бухгалтерский учет, 1С программирование, Информационные технологии, Системная интеграция, ERP-системы на базе 1С, Cистемы управления базами данных, Бизнес-анализ, Моделирование бизнес процессов"
Бизнес-аналитик,100000,RUB,1–3,Новосибирск / Россия,https://hh.ru/vacancy/126056408,"PHP, VueJS, Работа с базами данных, MS Excel"
Бизнес-аналитик | интегратор Битрикс24,2200,BYN,1–3,Минск / Беларусь,https://hh.ru/vacancy/127865936,"Системный подход, Многозадачность, CRM, Управление проектами, Бизнес-анализ, Битрикс24, Продвинутый пользователь ПК, Моделирование бизнес процессов, Логическое мышление"
ML-разработчик (Senior),370000,RUB,6,Санкт-Петербург / Россия,https://hh.ru/vacancy/128170446,
Бизнес-аналитик,200000,RUB,3–6,Москва / Россия,https://hh.ru/vacancy/128094486,
ML-разработчик (Middle),250000,RUB,3–6,Санкт-Петербург / Россия,https://hh.ru/vacancy/128167843,
Бизнес-аналитик консультант по недвижимости,300000,RUB,6,Москва / Россия,https://hh.ru/vacancy/128159672,"Стратегическое планирование, Стратегическое мышление, Стратегический менеджмент, Управление бизнес процессами, Стратегия управления рисками, Инновационный менеджмент, Разработка стратегии развития, Разработка бизнес-плана"
Data-аналитик,100000,RUB,1–3,Новосибирск / Россия,https://hh.ru/vacancy/127880181,"Аналитика, Аналитическое мышление, Разработка технических заданий"
Бизнес аналитик,140000,RUB,6,Москва / Россия,https://hh.ru/vacancy/128085561,
Бизнес-аналитик,370000,KZT,1–3,Алматы / Казахстан,https://hh.ru/vacancy/128084778,"Прогнозирование, Анализ данных, Экономический анализ, Формирование управленческой отчетности, Финансовый анализ, Контроль и анализ ценообразования, Анализ себестоимости, MS Excel, 1C: Финансы"
Консультант производственных ERP-MES (бизнес-аналитик),150000,RUB,3–6,Санкт-Петербург / Россия,https://hh.ru/vacancy/118524867,"Опыт внедрения ИТ-систем управления производством, Понимание предметной области (управление производством, запасами, поставками), Выраженное желание работать в нашей компании, Желание и способность постоянно развиваться, Стрессоустойчивость, Английский язык, Управление сложными производствами РФ"
Бизнес-аналитик IT,80000,RUB,1–3,Новосибирск / Россия,https://hh.ru/vacancy/128124944,"Бизнес-анализ, Аналитические исследования, Аналитическое мышление, Постановка задач разработчикам"
Бизнес - аналитик (IT),230000,RUB,3–6,Москва / Россия,https://hh.ru/vacancy/127857179,"Бизнес-анализ, Аналитическое мышление, Описание бизнес-процессов"
Бизнес-аналитик,180000,RUB,3–6,Санкт-Петербург / Россия,https://hh.ru/vacancy/128077489,
Аналитик данных,110000,RUB,1–3,Москва / Россия,https://hh.ru/vacancy/128063363,"Аналитическое мышление, MS PowerPoint, MS Excel, Визуализация данных, SQL"
"Аналитик 1С / Бизнес-аналитик ERP 1С (Дубай, в офис)",3800,USD,3–6,Астана / Казахстан,https://hh.ru/vacancy/127902503,"1С: Бухгалтерия, 1С: Предприятие 8, Разработка инструкций, ERP-системы на базе 1С, 1С программирование, Английский язык, 1С: Предприятие, Постановка задач разработчикам, Английский — B2 — Средне-продвинутый"
Бизнес аналитик,320000,KZT,1–3,Астана / Казахстан,https://hh.ru/vacancy/128073329,
Аналитик данных / Технический специалист (Отдел NLP-технологий),140000,RUB,1–3,Москва / Россия,https://hh.ru/vacancy/127619600,"Python, Git, Автоматизированное тестирование, Linux, C/C++, NLP"
Аналитик данных/ Data analyst,230000,RUB,3–6,Санкт-Петербург / Россия,https://hh.ru/vacancy/127820615,
Full Stack Data (engineer + analyst),220000,RUB,3–6,Москва / Россия,https://hh.ru/vacancy/127869009,
Коммерческий аналитик / Аналитик продаж,150000,RUB,3–6,Москва / Россия,https://hh.ru/vacancy/128159745,
Аналитик данных,200000,RUB,1–3,Москва / Россия,https://hh.ru/vacancy/128031722,"SQL, Power BI, Визуализация данных, Математическая статистика, Python, BigQuery, MS SQL, Исследовательский анализ данных"
Бизнес-аналитик (ИИ оптимизация),150000,RUB,3–6,Москва / Россия,https://hh.ru/vacancy/127954520,"BPMN, BABOK, ITIL, EPC, Бизнес-анализ, Анализ бизнес-процессов, Автоматизация бизнес-процессов, Системный анализ, Оптимизация бизнес-процессов, Моделирование бизнес-процессов, Описание бизнес-процессов, API, LLM, ML, Computer Vision, Natural Language Processing"
ML Engineer (NLP),150000,RUB,3–6,Санкт-Петербург / Россия,https://hh.ru/vacancy/127963946,
Менеджер СМК/Бизнес-аналитик,180000,RUB,1–3,Москва / Россия,https://hh.ru/vacancy/128009163,
Senior Data Engineer / Инженер данных,250000,RUB,3–6,Санкт-Петербург / Россия,https://hh.ru/vacancy/127913424,"Clickhouse, Apache Kafka, Kafka Connect, Python, Apache Airflow, SQL, REST API, Kubernetes, Docker, ETL, CI/CD"
Middle ML / Data Science Engineer,3000,USD,3–6,Минск / Беларусь,https://hh.ru/vacancy/127691648,"Python, SQL, Английский язык, PostgreSQL, TensorFlow"
Бизнес-аналитик,180000,RUB,3–6,Санкт-Петербург / Россия,https://hh.ru/vacancy/128058825,"Бизнес-анализ, User Story, Анализ бизнес-процессов, BPMN, UML"
Бизнес/системный аналитик,500000,KZT,1–3,Астана / Казахстан,https://hh.ru/vacancy/126921552,"SQL, PostgreSQL, Atlassian Confluence, Atlassian Jira, MS Visio, Figma, BPMN, REST API"
